id,lab_request_id,sample_id,reactor_test
640,416,730,True
641,417,731,True
642,417,732,True
643,418,733,True
644,418,734,True
645,418,735,True
646,419,736,True
647,419,737,True
648,420,738,True
649,421,739,True
650,421,740,True
651,421,741,True
652,422,742,True
653,423,743,True
654,423,744,True
655,424,745,True
656,424,746,True
657,424,747,True
658,424,748,True
659,424,749,True
660,424,750,True
661,424,751,True
662,425,752,True
663,425,753,True
664,425,754,True
665,426,755,True
666,427,756,True
667,428,757,True
668,428,758,True
669,428,759,True
670,428,760,True
671,429,761,True
672,429,762,True
673,429,763,True
674,429,764,True
675,429,765,True
676,429,766,True
677,430,767,True
678,430,768,True
679,430,769,True
680,431,770,True
681,432,771,True
682,433,693,True
683,433,694,True
684,433,695,True
685,434,724,True
686,336,503,True
687,435,772,True
688,436,515,False
689,437,790,True
690,438,791,False
691,439,791,True
692,440,792,True
693,441,782,True
694,441,783,True
695,441,784,True
696,441,785,True
697,441,786,True
698,441,787,True
699,441,788,True
700,441,789,True
701,442,793,True
702,443,794,True
703,444,795,False
704,445,790,False
705,446,798,True
707,448,799,True
708,447,796,True
709,449,797,True
710,450,618,True
711,451,802,True
712,452,803,True
713,453,804,True
714,454,805,True
715,454,806,True
716,455,800,True
717,455,801,True
718,456,510,False
719,456,513,False
720,456,514,False
721,457,810,True
722,458,811,True
723,459,807,True
724,459,808,True
725,460,809,True
726,461,812,True
727,462,813,True
728,463,814,True
729,463,815,True
730,464,816,True
731,465,817,True
732,466,818,True
733,467,819,True
734,468,820,True
735,469,821,True
736,470,822,True
737,471,823,True
738,472,825,True
739,473,826,True
740,474,828,True
741,475,830,True
742,476,831,True
743,476,832,True
744,477,834,True
745,477,835,True
746,477,836,True
747,479,837,True
748,478,453,True
749,480,838,True
750,481,839,True
751,481,840,True
752,481,841,True
753,482,842,True
754,482,843,True
755,483,844,True
756,483,845,True
757,483,846,True
758,483,847,True
759,484,848,True
760,484,849,True
761,484,850,True
762,484,851,True
763,484,852,True
764,485,853,True
765,485,854,True
766,486,856,True
767,487,857,True
768,488,833,True
769,489,824,True
